Question	Answer	Non-answer	Hint	Category
Architecture Development Method (ADM)	The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Application Architecture	A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Application Component	An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Application Platform	The collection of technology components of hardware and software that provide the services used to support applications.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Architectural Style	The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.	definition
Architecture Building Block	A constituent of the architecture model that describes a single aspect of the overall model.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Architecture Continuum	A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Architecture Framework	A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Architecture Governance	The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Architecture Landscape	The architectural representation of assets in use, or planned, by the enterprise at particular points in time.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.		definition
Architecture Model	A representation of a subject of interest.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.|A representation of a subject of interest.|A qualitative statement of intent that should be met by the architecture.|A representation of a system from the perspective of a related set of concerns.|A specification of the conventions for a particular kind of architecture view.|A succinct description of the Target Architecture that describes its business value and the changes to the enterprise that will result from its successful deployment. It serves as an aspirational vision and a boundary for detailed architecture development.		definition
Architecture Principle	A qualitative statement of intent that should be met by the architecture.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.|A representation of a subject of interest.|A qualitative statement of intent that should be met by the architecture.|A representation of a system from the perspective of a related set of concerns.|A specification of the conventions for a particular kind of architecture view.|A succinct description of the Target Architecture that describes its business value and the changes to the enterprise that will result from its successful deployment. It serves as an aspirational vision and a boundary for detailed architecture development.		definition
Architecture View	A representation of a system from the perspective of a related set of concerns.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.|A representation of a subject of interest.|A qualitative statement of intent that should be met by the architecture.|A representation of a system from the perspective of a related set of concerns.|A specification of the conventions for a particular kind of architecture view.|A succinct description of the Target Architecture that describes its business value and the changes to the enterprise that will result from its successful deployment. It serves as an aspirational vision and a boundary for detailed architecture development.		definition
Architecture Viewpoint	A specification of the conventions for a particular kind of architecture view.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.|A representation of a subject of interest.|A qualitative statement of intent that should be met by the architecture.|A representation of a system from the perspective of a related set of concerns.|A specification of the conventions for a particular kind of architecture view.|A succinct description of the Target Architecture that describes its business value and the changes to the enterprise that will result from its successful deployment. It serves as an aspirational vision and a boundary for detailed architecture development.		definition
Architecture Vision	A succinct description of the Target Architecture that describes its business value and the changes to the enterprise that will result from its successful deployment. It serves as an aspirational vision and a boundary for detailed architecture development.	The technique of providing summarized or generalized descriptions of detailed and complex content.|The core of the TOGAF framework. A multi-phase, iterative approach to develop and use an Enterprise Architecture to shape and govern business transformation and implementation projects.|A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.|An encapsulation of application functionality aligned to implementation structure, which is modular and replaceable. It encapsulates its behavior and data, provides services, and makes them available through interfaces.|The collection of technology components of hardware and software that provide the services used to support applications.|The combination of distinctive features related to the specific context within which architecture is performed or expressed; a collection of principles and characteristics that steer or constrain how an architecture is formed.|A constituent of the architecture model that describes a single aspect of the overall model.|A part of the Enterprise Continuum. A repository of architectural elements with increasing detail and specialization.|A conceptual structure used to plan, develop, implement, govern, and sustain an architecture.|The practice of monitoring and directing architecture-related work. The goal is to deliver desired outcomes and adhere to relevant principles, standards, and roadmaps.|The architectural representation of assets in use, or planned, by the enterprise at particular points in time.|A representation of a subject of interest.|A qualitative statement of intent that should be met by the architecture.|A representation of a system from the perspective of a related set of concerns.|A specification of the conventions for a particular kind of architecture view.|A succinct description of the Target Architecture that describes its business value and the changes to the enterprise that will result from its successful deployment. It serves as an aspirational vision and a boundary for detailed architecture development.		definition
Artifact	An architectural work product that describes an aspect of the architecture.	An architectural work product that describes an aspect of the architecture.|A specification that has been formally reviewed and agreed upon, that thereafter serves as the basis for further development or change and that can be changed only through formal change control procedures or a type of procedure such as configuration management.|A shorthand representation of "access to integrated information to support business process improvements" representing a desired state of an enterprise's infrastructure specific to the business needs of the organization.|A (potentially re-usable) component of enterprise capability that can be combined with other building blocks to deliver architectures and solutions.|A representation of holistic, multi-dimensional business views of: capabilities, end-to-end value delivery, information, and organizational structure; and the relationships among these business views and strategies, products, policies, initiatives, and stakeholders.|A particular ability that a business may possess or exchange to achieve a specific purpose.|Delivers business capabilities closely aligned to an organization, but not necessarily explicitly governed by the organization.|Concerned with ensuring that the business processes and policies (and their operation) deliver the business outcomes and adhere to relevant business regulation.|A model describing the rationale for how an enterprise creates, delivers, and captures value.|Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.		definition
Baseline	A specification that has been formally reviewed and agreed upon, that thereafter serves as the basis for further development or change and that can be changed only through formal change control procedures or a type of procedure such as configuration management.	An architectural work product that describes an aspect of the architecture.|A specification that has been formally reviewed and agreed upon, that thereafter serves as the basis for further development or change and that can be changed only through formal change control procedures or a type of procedure such as configuration management.|A shorthand representation of "access to integrated information to support business process improvements" representing a desired state of an enterprise's infrastructure specific to the business needs of the organization.|A (potentially re-usable) component of enterprise capability that can be combined with other building blocks to deliver architectures and solutions.|A representation of holistic, multi-dimensional business views of: capabilities, end-to-end value delivery, information, and organizational structure; and the relationships among these business views and strategies, products, policies, initiatives, and stakeholders.|A particular ability that a business may possess or exchange to achieve a specific purpose.|Delivers business capabilities closely aligned to an organization, but not necessarily explicitly governed by the organization.|Concerned with ensuring that the business processes and policies (and their operation) deliver the business outcomes and adhere to relevant business regulation.|A model describing the rationale for how an enterprise creates, delivers, and captures value.|Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.		definition
Boundaryless Information Flow™	A shorthand representation of "access to integrated information to support business process improvements" representing a desired state of an enterprise's infrastructure specific to the business needs of the organization.	An architectural work product that describes an aspect of the architecture.|A specification that has been formally reviewed and agreed upon, that thereafter serves as the basis for further development or change and that can be changed only through formal change control procedures or a type of procedure such as configuration management.|A shorthand representation of "access to integrated information to support business process improvements" representing a desired state of an enterprise's infrastructure specific to the business needs of the organization.|A (potentially re-usable) component of enterprise capability that can be combined with other building blocks to deliver architectures and solutions.|A representation of holistic, multi-dimensional business views of: capabilities, end-to-end value delivery, information, and organizational structure; and the relationships among these business views and strategies, products, policies, initiatives, and stakeholders.|A particular ability that a business may possess or exchange to achieve a specific purpose.|Delivers business capabilities closely aligned to an organization, but not necessarily explicitly governed by the organization.|Concerned with ensuring that the business processes and policies (and their operation) deliver the business outcomes and adhere to relevant business regulation.|A model describing the rationale for how an enterprise creates, delivers, and captures value.|Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.		definition
Building Block	A (potentially re-usable) component of enterprise capability that can be combined with other building blocks to deliver architectures and solutions.	An architectural work product that describes an aspect of the architecture.|A specification that has been formally reviewed and agreed upon, that thereafter serves as the basis for further development or change and that can be changed only through formal change control procedures or a type of procedure such as configuration management.|A shorthand representation of "access to integrated information to support business process improvements" representing a desired state of an enterprise's infrastructure specific to the business needs of the organization.|A (potentially re-usable) component of enterprise capability that can be combined with other building blocks to deliver architectures and solutions.|A representation of holistic, multi-dimensional business views of: capabilities, end-to-end value delivery, information, and organizational structure; and the relationships among these business views and strategies, products, policies, initiatives, and stakeholders.|A particular ability that a business may possess or exchange to achieve a specific purpose.|Delivers business capabilities closely aligned to an organization, but not necessarily explicitly governed by the organization.|Concerned with ensuring that the business processes and policies (and their operation) deliver the business outcomes and adhere to relevant business regulation.|A model describing the rationale for how an enterprise creates, delivers, and captures value.|Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.		definition
